Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,1.3009,50.3823,1.1663,55.7247
2,1.1182,57.6214,1.0872,58.6078
3,1.0498,60.2844,1.0300,60.9327
4,1.0018,62.1046,1.0013,61.8738
5,0.9619,63.6708,0.9933,62.4102
6,0.9292,64.8343,0.9710,63.1327
7,0.8983,65.9708,0.9672,63.5183
8,0.8679,67.1060,0.9598,63.8307
9,0.8395,68.2034,0.9690,63.7777
10,0.8108,69.1812,0.9623,64.0792
11,0.7807,70.2266,0.9620,64.2340
12,0.7514,71.3415,0.9774,63.9787
13,0.7205,72.4238,0.9926,63.9257
14,0.6908,73.5686,1.0334,63.4002
15,0.6586,74.6838,1.0453,63.5020
16,0.6277,75.8955,1.1263,62.2323
17,0.5960,77.0365,1.1315,63.2006
18,0.5654,78.1972,1.1827,63.1761
19,0.5336,79.4647,1.2200,62.8937
20,0.5012,80.7030,1.3099,62.1508
21,0.4708,81.8165,1.3495,62.1916
