Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,1.3047,50.3008,1.1568,55.9474
2,1.1185,57.6158,1.0801,58.9867
3,1.0434,60.5241,1.0298,60.7684
4,0.9872,62.6371,0.9982,61.9716
5,0.9333,64.6843,0.9805,62.8760
6,0.8766,66.7772,0.9652,63.6569
7,0.8135,69.1031,0.9587,63.9814
8,0.7438,71.6751,0.9753,64.4934
9,0.6796,74.1429,1.0195,64.2680
10,0.6364,75.7898,1.0378,64.1104
11,0.8728,66.8225,0.9899,62.8896
12,0.8812,66.4985,0.9881,62.6479
13,0.8589,67.3668,0.9794,63.2875
14,0.8314,68.3206,0.9736,63.4586
15,0.7993,69.5271,0.9765,63.6827
16,0.7645,70.8433,1.0355,62.2853
17,0.7235,72.4425,1.0132,63.2590
18,0.6796,73.9849,1.0442,63.5740
19,0.6328,75.6846,1.0828,63.4260
