Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,1.3475,48.4283,1.1856,54.7076
2,1.1461,56.3507,1.1256,57.3367
3,1.0748,59.1183,1.0741,59.0804
4,1.0237,61.1549,1.0641,59.5910
5,0.9822,62.7203,1.0601,59.7390
6,0.8786,66.9143,1.0303,60.9490
7,0.8486,68.0675,1.0500,60.3311
8,0.8312,68.7451,1.0754,59.3492
9,0.8145,69.4341,1.0313,61.6742
10,0.8014,69.8969,1.0471,60.9503
11,0.7792,70.8967,1.0408,61.6076
12,0.7765,70.9806,1.0409,61.6307
13,0.7750,70.9904,1.0415,61.5547
14,0.7737,71.0776,1.0415,61.5818
15,0.7715,71.1584,1.0519,60.8458
16,0.7689,71.2718,1.0422,61.4990
17,0.7693,71.3283,1.0449,61.4189
18,0.7686,71.2885,1.0445,61.1798
19,0.7685,71.3372,1.0470,61.4406
