Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,1.6967,35.2409,1.4941,42.9309
2,1.4285,45.4043,1.3666,47.8306
3,1.3370,48.9165,1.3049,50.0876
4,1.2819,51.1333,1.2651,51.8014
5,1.2409,52.7870,1.2420,52.6814
6,1.2088,54.0116,1.2344,52.6705
7,1.1824,55.0498,1.2284,52.7045
8,1.1601,55.9452,1.2432,52.3188
9,1.1391,56.7526,1.1700,55.4993
10,1.1214,57.4828,1.1695,55.2290
11,1.1052,58.1850,1.1524,56.2014
12,1.0907,58.7092,1.1449,56.6414
13,1.0768,59.2359,1.1413,56.6509
14,1.0641,59.8236,1.1341,56.9428
15,1.0510,60.2559,1.1448,56.3073
16,1.0405,60.6557,1.1276,56.9904
17,1.0303,61.1038,1.1278,57.1289
18,1.0197,61.5064,1.1273,57.1859
19,1.0096,61.9246,1.1307,57.0854
20,1.0011,62.2417,1.2894,50.8712
21,0.9921,62.6355,1.1229,57.2267
22,0.9831,62.9137,1.1268,57.2077
23,0.9757,63.3115,1.1224,57.5553
24,0.9672,63.6080,1.1245,57.5811
