Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,1.6967,35.2294,1.4938,42.9716
2,1.4295,45.3811,1.3687,47.6880
3,1.3405,48.8269,1.3099,50.0129
4,1.2894,50.8525,1.2748,51.3546
5,1.2545,52.2130,1.2572,52.0621
6,1.2302,53.1448,1.2591,51.7294
7,1.2135,53.8868,1.2583,51.5556
8,1.2029,54.3198,1.2875,50.4624
9,1.1950,54.7021,1.2181,53.6483
10,1.1922,54.7126,1.2291,53.0223
11,1.1927,54.7227,1.2035,54.2078
12,1.1688,55.5900,1.1866,54.8977
13,1.1470,56.4293,1.1741,55.3621
14,1.1283,57.2803,1.1617,55.9026
15,1.1099,57.9202,1.1668,55.3268
16,1.0952,58.5090,1.1464,56.3996
17,1.0821,59.0396,1.1425,56.5368
18,1.0687,59.6453,1.1410,56.7351
19,1.0571,60.0558,1.1405,56.5857
20,1.0473,60.4826,1.2805,50.6933
21,1.0382,60.8922,1.1300,56.9659
22,1.0294,61.1405,1.1306,57.0651
23,1.0232,61.3988,1.1271,57.2498
24,1.0163,61.6934,1.1262,57.2606
25,1.0120,61.8813,1.1311,57.1058
26,1.0081,62.0006,1.1708,55.0634
27,1.0042,62.2024,1.1248,57.4888
28,1.0029,62.2206,1.1270,57.1751
29,1.0015,62.3301,1.1227,57.4684
30,1.0011,62.3560,1.1356,56.7582
31,1.0175,61.6181,1.1280,57.2769
32,1.0066,61.9934,1.1804,54.7727
