Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,1.6967,35.2294,1.4938,42.9716
2,1.4284,45.4328,1.3666,47.8414
3,1.3369,48.9328,1.3049,50.1894
4,1.2814,51.1484,1.2646,51.8775
5,1.2402,52.7877,1.2412,52.7384
6,1.2102,53.9980,1.2541,51.9073
7,1.2059,54.2216,1.2554,51.7593
8,1.2027,54.3198,1.2890,50.2601
9,1.1979,54.5511,1.2196,53.6456
10,1.1948,54.6364,1.2283,53.1024
11,1.1920,54.7932,1.2169,53.6999
12,1.1919,54.7352,1.2155,53.7434
13,1.1914,54.7701,1.2158,53.7053
14,1.1914,54.8245,1.2166,53.7569
15,1.1899,54.8476,1.2298,52.9055
16,1.1902,54.8118,1.2167,53.7719
17,1.1910,54.7924,1.2169,53.6700
18,1.1907,54.8394,1.2208,53.4799
19,1.1903,54.8382,1.2154,53.7488
